"indice_tiempo","region","ruta_natural","provincia_codigo","provincia_nombre","departamento_partido","localidad","clasificacion","tipo","establecimientos","unidades","habitaciones","plazas"
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Albergue municipal / complejo deportivo","Otros colectivos",1,0,6,30
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Cabañas / bungalows","Parahoteleros",18,69,0,277
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Conjunto de unidades turisticas","Otros colectivos",3,14,0,50
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Establecimiento rural","Parahoteleros",9,0,57,131
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Hosteria","Parahoteleros",5,0,68,164
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Hotel 1 estrella","Hoteleros",1,0,15,34
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Hotel 2 estrellas","Hoteleros",2,0,49,135
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Hotel boutique","Hoteleros",3,0,27,78
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Hotel sin categorizar","Hoteleros",2,0,28,60
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Baradero","Residencial","Parahoteleros",1,0,5,15
2020,"Buenos Aires","Delta","06","Buenos Aires","Baradero","Santa Coloma","Establecimiento rural","Parahoteleros",1,0,4,10
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Cabañas / bungalows","Parahoteleros",4,29,0,116
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Camping","Otros colectivos",1,0,0,0
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Establecimiento rural","Parahoteleros",2,0,14,32
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Hosteria","Parahoteleros",2,0,47,110
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Hotel 3 estrellas","Hoteleros",4,0,139,363
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Hotel sin categorizar","Hoteleros",1,0,70,150
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Belén de Escobar","Sin clasificar","Otros colectivos",1,0,2,4
2020,"Buenos Aires","Delta","06","Buenos Aires","Escobar","Matheu","Motel","Hoteleros",1,0,19,103
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Cabañas / bungalows","Parahoteleros",1,3,0,12
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Conjunto de unidades turisticas","Otros colectivos",1,2,0,4
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Establecimiento rural","Parahoteleros",14,0,108,271
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Hospedaje","Parahoteleros",2,0,4,8
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Hosteria","Parahoteleros",2,0,5,12
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Posada","Parahoteleros",1,0,12,28
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Residencial","Parahoteleros",2,0,98,226
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Capilla del Señor","Sin clasificar","Otros colectivos",1,0,10,30
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Los Cardales","Cabañas / bungalows","Parahoteleros",1,2,0,4
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Los Cardales","Hosteria","Parahoteleros",1,0,2,5
2020,"Buenos Aires","Delta","06","Buenos Aires","Exaltación de la Cruz","Los Cardales","Hotel sin categorizar","Hoteleros",3,0,63,138
2020,"Buenos Aires","Delta","06","Buenos Aires","Pilar","Fátima","Hotel 3 estrellas","Hoteleros",1,0,25,50
2020,"Buenos Aires","Delta","06","Buenos Aires","Pilar","Fátima","Hotel sin categorizar","Hoteleros",1,0,12,44
2020,"Buenos Aires","Delta","06","Buenos Aires","Pilar","Fátima","Sin clasificar","Otros colectivos",1,0,10,30
2020,"Buenos Aires","Delta","06","Buenos Aires","Ramallo","Pérez Millán","Hotel 2 estrellas","Hoteleros",1,0,4,8
